Tag name,Tag class
abbr,AbbrTag
acronym,AcronymTag
address,AddressTag
applet,AppletTag
area,AreaTag
a,ATag
basefont,BasefontTag
base,BaseTag
bdo,BdoTag
big,BigTag
blockquote,BlockquoteTag
body,BodyTag
br,BrTag
b,BTag
button,ButtonTag
caption,CaptionTag
center,CenterTag
cite,CiteTag
code,CodeTag
colgroup,ColgroupTag
col,ColTag
dd,DdTag
del,DelTag
dfn,DfnTag
dir,DirTag
div,DivTag
dl,DlTag
dt,DtTag
em,EmTag
fieldset,FieldsetTag
font,FontTag
form,FormTag
frameset,FramesetTag
frame,FrameTag
h1,H1Tag
h2,H2Tag
h3,H3Tag
h4,H4Tag
h5,H5Tag
h6,H6Tag
head,HeadTag
hr,HrTag
iframe,IframeTag
img,ImgTag
input,InputTag
ins,InsTag
isindex,IsindexTag
i,ITag
kbd,KbdTag
label,LabelTag
link,LinkTag
li,LiTag
map,MapTag
menu,MenuTag
meta,MetaTag
noframes,NoframesTag
noscript,NoscriptTag
object,ObjectTag
ol,OlTag
optgroup,OptgroupTag
option,OptionTag
param,ParamTag
pre,PreTag
p,PTag
q,QTag
samp,SampTag
script,ScriptTag
select,SelectTag
small,SmallTag
span,SpanTag
s,STag
strike,StrikeTag
strong,StrongTag
style,StyleTag
sub,SubTag
sup,SupTag
table,TableTag
tbody,TbodyTag
td,TdTag
textarea,TextareaTag
tfoot,TfootTag
thead,TheadTag
th,ThTag
title,TitleTag
tr,TrTag
tt,TtTag
ul,UlTag
u,UTag
var,VarTag
